time_steps;Last_L;Solarthermie_1;BHKW_1;Holzgas-BHKW_1;Flusswasser_1;Biomassekessel_1;Gaskessel_1;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
2021-11-13 06:00:00;857.0616826467491;0.0;121.45991852700938;289.2086615463179;106.95885260330452;291.5803403526527;47.85390961746464;43.43683097924971;237.75549372666313;194.3186627474134
2021-11-13 07:00:00;792.8168515747469;0.0;121.45991852700938;289.2086615463179;106.95885260330452;275.18941889811515;0.0;43.39453610974704;237.75549372666313;194.3609576169161
2021-11-13 08:00:00;761.7209055131749;0.0;121.45991852700938;289.2086615463179;106.95885260330452;244.09347283654313;0.0;43.26814425700021;237.75549372666313;194.48734946966292
2021-11-13 09:00:00;594.3978548917673;0.0;121.45991852700938;289.2086615463179;106.95885260330452;0.0;76.77042221513553;42.56560514298971;237.75549372666313;195.18988858367342
2021-11-13 10:00:00;629.3415441640651;0.0;121.45991852700938;289.2086615463179;106.95885260330452;111.7141114874333;0.0;42.44398912829544;237.75549372666313;195.3115045983677
2021-11-13 11:00:00;554.3982373326405;0.0;121.45991852700938;289.2086615463179;106.95885260330452;0.0;36.77080465600871;42.24283278171585;237.75549372666313;195.5126609449473
2021-11-13 12:00:00;470.96663126728697;0.0;121.45991852700938;289.2086615463179;60.29805119395968;0.0;0.0;23.657427492922025;237.75549372666313;214.09806623374112
2021-11-13 13:00:00;299.3558763960992;0.0;121.45991852700938;0.0;106.95885260330452;0.0;70.93710526578526;41.728640996919694;70.31890019984753;28.59025920292784
2021-11-13 14:00:00;216.8374283067292;0.0;121.45991852700938;0.0;95.37750977971983;0.0;0.0;37.21032684914165;70.31890019984753;33.10857335070588
2021-11-13 15:00:00;187.1018209562692;0.0;121.45991852700938;0.0;65.64190242925982;0.0;0.0;25.585400073768255;70.31890019984753;44.73350012607928
2021-11-13 16:00:00;167.84630905613;0.0;121.45991852700938;0.0;46.38639052912062;0.0;0.0;18.131015685241003;70.31890019984753;52.18788451460653
2021-11-13 17:00:00;285.27942102354035;0.0;121.45991852700938;0.0;106.95885260330452;0.0;56.86064989322644;41.80693113012212;70.31890019984753;28.51196906972541
2021-11-13 18:00:00;397.0449960880602;0.0;121.45991852700938;275.5850775610508;0.0;0.0;0.0;0.0;229.86815562992956;229.86815562992956
2021-11-13 19:00:00;344.9551341380823;0.0;121.45991852700938;223.49521561107292;0.0;0.0;0.0;0.0;199.71086713257392;199.71086713257392
2021-11-13 20:00:00;199.6150669559929;0.0;121.45991852700938;0.0;78.15514842898351;0.0;0.0;30.405831165959974;70.31890019984753;39.91306903388756
2021-11-13 21:00:00;376.3190372378114;0.0;121.45991852700938;254.85911871080202;0.0;0.0;0.0;0.0;217.868916295575;217.868916295575
2021-11-13 22:00:00;224.52656141815345;0.0;121.45991852700938;0.0;103.06664289114407;0.0;0.0;40.060106845127514;70.31890019984753;30.25879335472002
2021-11-13 23:00:00;562.3021867932032;0.0;121.45991852700938;289.2086615463179;106.95885260330452;0.0;44.67475411657138;41.49552009749553;237.75549372666313;196.2599736291676
2021-11-14 00:00:00;294.1757686616777;0.0;121.45991852700938;0.0;106.95885260330452;0.0;65.75699753136378;41.53419253001884;70.31890019984753;28.78470766982869
2021-11-14 01:00:00;319.1954881060718;0.0;121.45991852700938;0.0;106.95885260330452;90.7767169757579;0.0;41.572937112602816;70.31890019984753;28.745963087244718
2021-11-14 02:00:00;375.4757697288066;0.0;121.45991852700938;254.0158512017972;0.0;0.0;0.0;0.0;217.38070879036167;217.38070879036167
2021-11-14 03:00:00;352.74196107867647;0.0;121.45991852700938;231.28204255166708;0.0;0.0;0.0;0.0;204.21903009818107;204.21903009818107
2021-11-14 04:00:00;657.7481961411193;0.0;121.45991852700938;289.2086615463179;106.95885260330452;140.12076346448748;0.0;41.45691961368392;237.75549372666313;196.29857411297922
