time_steps;Last_L;BHKW_1;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
2021-06-28 21:00:00;119.77449178262712;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-28 22:00:00;111.4724608773798;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-28 23:00:00;101.80257679865213;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-29 00:00:00;32.19953390176004;0.0;0.0;0.0;0.0
2021-06-29 01:00:00;74.10740273656538;74.10740273656538;0.0;42.90428579485364;42.90428579485364
2021-06-29 02:00:00;105.00966551962708;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-29 03:00:00;91.37500773828975;91.37500773828975;0.0;52.90132026953617;52.90132026953617
2021-06-29 04:00:00;105.7327720068217;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-29 05:00:00;86.63138615218762;86.63138615218762;0.0;50.15501303547703;50.15501303547703
2021-06-29 06:00:00;120.5445085400452;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-29 07:00:00;127.83033265117128;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-29 08:00:00;224.81636350270307;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-29 09:00:00;218.44533861316728;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-29 10:00:00;211.339621597962;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-29 11:00:00;165.28496299648702;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-29 12:00:00;151.64296121089865;100.0;0.0;57.89473684210526;57.89473684210526
2021-06-29 13:00:00;27.42509192705102;0.0;0.0;0.0;0.0
2021-06-29 14:00:00;27.42509192705102;0.0;0.0;0.0;0.0
2021-06-29 15:00:00;27.42509192705102;0.0;0.0;0.0;0.0
2021-06-29 16:00:00;27.42509192705102;0.0;0.0;0.0;0.0
2021-06-29 17:00:00;27.42509192705102;0.0;0.0;0.0;0.0
2021-06-29 18:00:00;27.42509192705102;0.0;0.0;0.0;0.0
2021-06-29 19:00:00;53.42851118057038;0.0;0.0;0.0;0.0
2021-06-29 20:00:00;45.655505803895686;0.0;0.0;0.0;0.0
2021-06-29 21:00:00;66.29309483307607;0.0;0.0;0.0;0.0
2021-06-29 22:00:00;53.55059505680428;0.0;0.0;0.0;0.0
2021-06-29 23:00:00;65.53607628310914;0.0;0.0;0.0;0.0
2021-06-30 00:00:00;143.35820721359684;100.0;0.0;57.89473684210526;57.89473684210526
