Zeit;Gesamtwärmebedarf_Gebäude_kW;Gesamtheizlast_Gebäude_kW;Gesamtstrombedarf_Wärmepumpen_Gebäude_kW;Wärmeerzeugung_Heizentrale Haupteinspeisung_1_kW;Massenstrom_Heizentrale Haupteinspeisung_1_kg/s;Delta p_Heizentrale Haupteinspeisung_1_bar;Vorlauftemperatur_Heizentrale Haupteinspeisung_1_°C;Rücklauftemperatur_Heizentrale Haupteinspeisung_1_°C;Vorlaufdruck_Heizentrale Haupteinspeisung_1_bar;Rücklaufdruck_Heizentrale Haupteinspeisung_1_bar
2021-10-12 16:00:00;605.9445342397551;605.9445342397551;0.0;634.0876006767527;10.014830871117288;0.6569067534380761;74.80000000000001;59.72503366264772;3.156906753438087;2.5000000000000107
2021-10-12 17:00:00;508.6652030740441;508.6652030740441;0.0;536.7204586289382;7.933951744015105;0.6569067534380761;75.75999999999999;59.65319855843086;3.156906753438087;2.5000000000000107
2021-10-12 18:00:00;428.4335515591175;428.4335515591175;0.0;456.3784537060789;6.473890984637853;0.6569067534380761;76.36000000000001;59.575420702243434;3.156906753438087;2.5000000000000107
2021-10-12 19:00:00;417.60001954468396;417.60001954468396;0.0;445.59677405345155;6.15889856569927;0.6569067534380761;76.77999999999997;59.55379163157545;3.156906753438087;2.5000000000000107
2021-10-12 20:00:00;501.5090745933884;501.5090745933884;0.0;529.750403704396;7.326643040009368;0.6569067534380761;76.84000000000003;59.62460574477706;3.156906753438087;2.5000000000000107
2021-10-12 21:00:00;484.05989488877293;484.05989488877293;0.0;512.3563391230008;6.860772634762863;0.6569067534380761;77.38;59.59926143784651;3.156906753438087;2.5000000000000107
2021-10-12 22:00:00;610.604198718589;610.604198718589;0.0;639.3223580565401;8.397002208457566;0.6569067534380761;77.80000000000001;59.672148502263894;3.156906753438087;2.5000000000000107
2021-10-12 23:00:00;565.326296250443;565.326296250443;0.0;594.012759478389;7.58646005368138;0.6167713555071632;78.27999999999997;59.63736451535311;3.116771355507174;2.5000000000000107
2021-10-13 00:00:00;753.5904911891205;753.5904911891205;0.0;782.846396606674;9.78881911233457;0.6167713555071632;78.75999999999999;59.71868387666916;3.116771355507174;2.5000000000000107
2021-10-13 01:00:00;803.2340377907701;803.2340377907701;0.0;832.6318642169871;10.354461128567188;0.6167713555071632;78.88;59.73408023702166;3.116771355507174;2.5000000000000107
2021-10-13 02:00:00;870.3737340543192;870.3737340543192;0.0;900.0171823441377;10.926482928348488;0.6167713555071632;79.36000000000001;59.74803458301636;3.116771355507174;2.5000000000000107
2021-10-13 03:00:00;726.3078773260934;726.3078773260934;0.0;755.6176772744917;9.122294761546597;0.6167713555071632;79.42000000000002;59.69810156518787;3.116771355507174;2.5000000000000107
2021-10-13 04:00:00;683.6912396130439;683.6912396130439;0.0;712.9171854453745;8.545994989586244;0.6167713555071632;79.54000000000002;59.67780873758488;3.116771355507174;2.5000000000000107
2021-10-13 05:00:00;684.315966601403;684.315966601403;0.0;713.4886426228957;8.686316265864466;0.6167713555071632;79.24000000000001;59.683004486132404;3.116771355507174;2.5000000000000107
2021-10-13 06:00:00;649.0875753869836;649.0875753869836;0.0;678.093296262403;8.432404618937126;0.6167713555071632;78.82;59.67352967268641;3.116771355507174;2.5000000000000107
2021-10-13 07:00:00;737.1607542227956;737.1607542227956;0.0;766.2126707521091;10.060356150274984;0.6167713555071632;77.86000000000001;59.72628926955781;3.116771355507174;2.5000000000000107
2021-10-13 08:00:00;1149.8724257279437;1149.8724257279437;0.0;1179.762562783223;16.755432742573582;0.6167713555071632;76.60000000000002;59.83553604390079;3.116771355507174;2.5000000000000107
2021-10-13 09:00:00;934.3688227630923;934.3688227630923;0.0;963.5282706963798;14.547965730657596;0.6167713555071632;75.57999999999998;59.810682332479075;3.116771355507174;2.5000000000000107
2021-10-13 10:00:00;829.9339405728907;829.9339405728907;0.0;858.6604187109099;13.739016489049227;0.6167713555071632;74.68;59.799534793565215;3.116771355507174;2.5000000000000107
2021-10-13 11:00:00;910.0782410926766;910.0782410926766;0.0;938.8394134006303;16.23365542190709;0.6167713555071632;73.60000000000002;59.83026127774269;3.116771355507174;2.5000000000000107
2021-10-13 12:00:00;685.7454893620021;685.7454893620021;0.0;713.8024278363412;12.6858738522467;0.6167713555071632;73.18;59.78297579905751;3.116771355507174;2.5000000000000107
2021-10-13 13:00:00;661.9733627893834;661.9733627893834;0.0;689.8856755768074;12.657162311169381;0.6575842729793666;72.75999999999999;59.78248654581893;3.1575842729793777;2.500000000000011
2021-10-13 14:00:00;604.546055288809;604.546055288809;0.0;632.3299501962035;11.42208707872612;0.6575842729793666;72.94;59.75898071613142;3.1575842729793777;2.500000000000011
2021-10-13 15:00:00;512.7412748473245;512.7412748473245;0.0;540.3054689834646;9.59528469016947;0.6575842729793666;73.12;59.712981507513234;3.1575842729793777;2.500000000000011
2021-10-13 16:00:00;520.1999851503208;520.1999851503208;0.0;547.9136579408847;9.2671627683735;0.6575842729793666;73.77999999999997;59.70280764849838;3.1575842729793777;2.500000000000011
2021-10-13 17:00:00;378.373989981495;378.373989981495;0.0;405.8090363650416;6.473965757477961;0.6575842729793666;74.5;59.57542320208779;3.1575842729793777;2.500000000000011
2021-10-13 18:00:00;425.23165218396116;425.23165218396116;0.0;452.8854771019461;7.042922403825053;0.6575842729793666;74.92000000000002;59.609611880162106;3.1575842729793777;2.500000000000011
2021-10-13 19:00:00;420.4369267641688;420.4369267641688;0.0;448.1826475846848;6.724526457029751;0.6575842729793666;75.46000000000004;59.591201673647106;3.1575842729793777;2.500000000000011
2021-10-13 20:00:00;520.1881434435959;520.1881434435959;0.0;548.2755432208871;8.108503377116524;0.6575842729793666;75.75999999999999;59.660630001168556;3.1575842729793777;2.500000000000011
2021-10-13 21:00:00;503.60270063335395;503.60270063335395;0.0;531.666424776971;7.798238858604779;0.6575842729793666;75.88;59.64720099374267;3.1575842729793777;2.500000000000011
2021-10-13 22:00:00;418.8720244414674;418.8720244414674;0.0;446.75510797354093;6.404301515331803;0.6575842729793666;76.18;59.57080951317249;3.1575842729793777;2.500000000000011
2021-10-13 23:00:00;508.5699220482414;508.5699220482414;0.0;536.6028009078278;7.993015652357916;0.6575842729793666;75.63999999999999;59.655723576491255;3.1575842729793777;2.500000000000011
2021-10-14 00:00:00;566.1973257698481;566.1973257698481;0.0;594.3701892660928;8.940913626220851;0.6575842729793666;75.51999999999998;59.69200773363934;3.1575842729793777;2.500000000000011
2021-10-14 01:00:00;517.1940951879773;517.1940951879773;0.0;545.3077881033225;7.972619306826841;0.6575842729793666;75.94;59.654864256409155;3.1575842729793777;2.500000000000011
2021-10-14 02:00:00;446.5076169367626;446.5076169367626;0.0;474.53839521149473;6.664830900198112;0.6575842729793666;76.54000000000002;59.587532055186216;3.1575842729793777;2.500000000000011
2021-10-14 03:00:00;523.0126606002958;523.0126606002958;0.0;551.2451839558679;7.797177638133357;0.6575842729793666;76.48000000000002;59.64713310712176;3.1575842729793777;2.500000000000011
2021-10-14 04:00:00;523.3763209385659;523.3763209385659;0.0;551.6212654351956;7.774308547855397;0.6575842729793666;76.54000000000002;59.6460993111188;3.1575842729793777;2.500000000000011
2021-10-14 05:00:00;557.593446165431;557.593446165431;0.0;586.0338476601909;8.00820098542506;0.6575842729793666;77.07999999999998;59.65637779765143;3.1575842729793777;2.500000000000011
2021-10-14 06:00:00;648.8700996574224;648.8700996574224;0.0;677.4101079870526;9.726023366740707;0.6575842729793666;76.30000000000001;59.716848297851925;3.1575842729793777;2.500000000000011
2021-10-14 07:00:00;617.8562552886526;617.8562552886526;0.0;646.1227505733578;9.887752299881434;0.6575842729793666;75.27999999999997;59.721484225048926;3.1575842729793777;2.500000000000011
2021-10-14 08:00:00;841.7488450657381;841.7488450657381;0.0;870.4859817211465;14.04563056461328;0.6575842729793666;74.56;59.80391154081519;3.1575842729793777;2.500000000000011
2021-10-14 09:00:00;965.00900721829;965.00900721829;0.0;993.8931704723764;17.4280979374648;0.6575842729793666;73.42000000000002;59.84185556255403;3.1575842729793777;2.500000000000011
2021-10-14 10:00:00;898.5514484470855;898.5514484470855;0.0;927.1393508264528;17.083952298992003;0.6575842729793666;72.75999999999999;59.83866536858022;3.1575842729793777;2.500000000000011
2021-10-14 11:00:00;718.6680961797992;718.6680961797992;0.0;746.6897522088589;14.047272066667041;0.6983726951717659;72.46000000000004;59.80392887873893;3.198372695171777;2.500000000000011
2021-10-14 12:00:00;575.9479685897103;575.9479685897103;0.0;603.5025248691129;11.590306000075243;0.6983726951717659;72.15999999999997;59.762477678427445;3.198372695171777;2.500000000000011
2021-10-14 13:00:00;566.2427833121319;566.2427833121319;0.0;593.7351936111017;11.570328705992383;0.739506312939914;71.98000000000002;59.76206515298543;3.2395063129399246;2.5000000000000107
2021-10-14 14:00:00;526.3765187292926;526.3765187292926;0.0;553.7447820698932;10.829738684130392;0.739506312939914;71.92000000000002;59.74574542411375;3.2395063129399246;2.5000000000000107
2021-10-14 15:00:00;450.28059294631294;450.28059294631294;0.0;477.54489710457716;8.861671659491298;0.739506312939914;72.51999999999998;59.689332114048625;3.2395063129399246;2.5000000000000107
2021-10-14 16:00:00;446.7803621904651;446.7803621904651;0.0;474.1841836449669;8.281885162595684;0.739506312939914;73.30000000000001;59.66771774911217;3.2395063129399246;2.5000000000000107
2021-10-14 17:00:00;334.9548081724664;334.9548081724664;0.0;362.140309304667;6.005473002261192;0.739506312939914;73.89999999999998;59.54244928995388;3.2395063129399246;2.5000000000000107
2021-10-14 18:00:00;300.58890620595946;300.58890620595946;0.0;327.73982481641104;5.279602182271076;0.739506312939914;74.25999999999999;59.47985389638046;3.2395063129399246;2.5000000000000107
2021-10-14 19:00:00;358.81662113744613;358.81662113744613;0.0;386.26525829674915;6.004041707784146;0.739506312939914;74.86000000000001;59.54233181610846;3.2395063129399246;2.5000000000000107
2021-10-14 20:00:00;223.84163174504957;223.84163174504957;0.0;250.78203608936587;3.9289236406020356;0.739506312939914;74.5;59.30245124245869;3.2395063129399246;2.5000000000000107
2021-10-14 21:00:00;446.00758397164145;446.00758397164145;0.0;473.6652186122101;7.525764780768151;0.739506312939914;74.62;59.634488721318235;3.2395063129399246;2.5000000000000107
2021-10-14 22:00:00;394.822391360151;394.822391360151;0.0;422.38872059258506;6.556295510754306;0.739506312939914;74.92000000000002;59.58073671736253;3.2395063129399246;2.5000000000000107
2021-10-14 23:00:00;436.09783975378633;436.09783975378633;0.0;463.8192720201405;7.131343323374451;0.739506312939914;75.10000000000002;59.614395816167246;3.2395063129399246;2.5000000000000107
2021-10-15 00:00:00;577.7851337885257;577.7851337885257;0.0;605.8990228957937;9.408749182675328;0.739506312939914;75.03999999999996;59.7072847455982;3.2395063129399246;2.5000000000000107
2021-10-15 01:00:00;541.984724687781;541.984724687781;0.0;570.0330383819452;8.736455060784701;0.739506312939914;75.22000000000003;59.68484860834269;3.2395063129399246;2.5000000000000107
2021-10-15 02:00:00;502.5699072895928;502.5699072895928;0.0;530.5283323561234;8.05505078010523;0.739506312939914;75.34000000000003;59.65837699638308;3.2395063129399246;2.5000000000000107
2021-10-15 03:00:00;543.7406016644879;543.7406016644879;0.0;571.827716315665;8.662096522912961;0.739506312939914;75.39999999999998;59.682158954764304;3.2395063129399246;2.5000000000000107
2021-10-15 04:00:00;535.4232896695598;535.4232896695598;0.0;563.4755067417012;8.566354785178062;0.739506312939914;75.34000000000003;59.67863197323652;3.2395063129399246;2.5000000000000107
2021-10-15 05:00:00;566.6308734191741;566.6308734191741;0.0;594.7935215390804;8.982131384050954;0.739506312939914;75.46000000000004;59.693418653860476;3.2395063129399246;2.5000000000000107
2021-10-15 06:00:00;642.2587584505577;642.2587584505577;0.0;670.5896367591707;10.269013982832595;0.739506312939914;75.27999999999997;59.73184713008516;3.2395063129399246;2.5000000000000107
2021-10-15 07:00:00;628.2841861908075;628.2841861908075;0.0;656.5441066560991;10.16995349523364;0.739506312939914;75.10000000000002;59.72922908471787;3.2395063129399246;2.5000000000000107
2021-10-15 08:00:00;862.5074463756944;862.5074463756944;0.0;891.3210305284942;14.268744847602383;0.739506312939914;74.68;59.80698241859483;3.2395063129399246;2.5000000000000107
2021-10-15 09:00:00;1019.7144576503553;1019.7144576503553;0.0;1048.8871032492111;17.31970654596645;0.739506312939914;74.25999999999999;59.84087436872272;3.2395063129399246;2.5000000000000107
2021-10-15 10:00:00;988.1898663288345;988.1898663288345;0.0;1017.277045228359;16.791929889745024;0.739506312939914;74.25999999999999;59.83587949194657;3.2395063129399246;2.5000000000000107
2021-10-15 11:00:00;791.0367827627541;791.0367827627541;0.0;819.5835123682683;13.491221327289194;0.739506312939914;74.25999999999999;59.79585870527973;3.2395063129399246;2.5000000000000107
2021-10-15 12:00:00;578.9027550532212;578.9027550532212;0.0;606.8586284546537;9.981429374991537;0.739506312939914;74.19999999999999;59.724102390176654;3.2395063129399246;2.5000000000000107
2021-10-15 13:00:00;545.4040640634736;545.4040640634736;0.0;573.2224182609696;9.579331141231227;0.739506312939914;73.96000000000004;59.7124991938183;3.2395063129399246;2.5000000000000107
2021-10-15 14:00:00;493.1898276508681;493.1898276508681;0.0;520.9270904640631;8.4691115725996;0.739506312939914;74.32;59.67498575369109;3.2395063129399246;2.5000000000000107
2021-10-15 15:00:00;404.65666219374236;404.65666219374236;0.0;432.1686202936077;6.906759024080679;0.739506312939914;74.5;59.60194286678575;3.2395063129399246;2.5000000000000107
2021-10-15 16:00:00;508.1147819528784;508.1147819528784;0.0;535.9525333256316;8.540010779140438;0.739506312939914;74.62;59.677659840242484;3.2395063129399246;2.5000000000000107
2021-10-15 17:00:00;434.5250026568954;434.5250026568954;0.0;462.17211261525455;7.278885746796594;0.739506312939914;74.74000000000001;59.6221669934115;3.2395063129399246;2.5000000000000107
2021-10-15 18:00:00;364.4755062782035;364.4755062782035;0.0;391.9289757168579;6.11948331789496;0.739506312939914;74.80000000000001;59.55093109301458;3.2395063129399246;2.5000000000000107
2021-10-15 19:00:00;364.8332019149425;364.8332019149425;0.0;392.29956359965973;6.1007158943534545;0.739506312939914;74.86000000000001;59.54955781298224;3.2395063129399246;2.5000000000000107
2021-10-15 20:00:00;466.5361933313877;466.5361933313877;0.0;494.2876822663356;7.7659744013892915;0.739506312939914;74.80000000000001;59.64574667466161;3.2395063129399246;2.5000000000000107
2021-10-15 21:00:00;448.9001412778749;448.9001412778749;0.0;476.6010930342045;7.481469480921441;0.739506312939914;74.80000000000001;59.63233126703159;3.2395063129399246;2.5000000000000107
2021-10-15 22:00:00;403.7325164165282;403.7325164165282;0.0;431.30097035235315;6.752811580646851;0.739506312939914;74.80000000000001;59.592896114404255;3.2395063129399246;2.5000000000000107
2021-10-15 23:00:00;445.27286910230913;445.27286910230913;0.0;472.9516009837446;7.452978109512289;0.739506312939914;74.74000000000001;59.63093589312615;3.2395063129399246;2.5000000000000107
2021-10-16 00:00:00;400.94133222342305;400.94133222342305;0.0;428.5253910034279;6.6542156652863635;0.739506312939914;74.92000000000002;59.58688485420089;3.2395063129399246;2.5000000000000107
2021-10-16 01:00:00;329.00852239631564;329.00852239631564;0.0;356.31964053714444;5.614976915794061;0.739506312939914;74.62;59.510764303399924;3.2395063129399246;2.5000000000000107
2021-10-16 02:00:00;338.67310453605285;338.67310453605285;0.0;366.0255777894446;5.749427441425366;0.739506312939914;74.68;59.52215202633823;3.2395063129399246;2.5000000000000107
2021-10-16 03:00:00;446.613480188723;446.613480188723;0.0;474.2612829422656;7.566519172347465;0.739506312939914;74.56;59.63644657874312;3.2395063129399246;2.5000000000000107
2021-10-16 04:00:00;418.5417381985152;418.5417381985152;0.0;446.14157842846;7.019989156520039;0.739506312939914;74.74000000000001;59.60832629343162;3.2395063129399246;2.5000000000000107
2021-10-16 05:00:00;440.2547654687392;440.2547654687392;0.0;467.9068941181361;7.401633643091684;0.739506312939914;74.68;59.62840345611511;3.2395063129399246;2.5000000000000107
