;waerme_hast_ges_W_1;waerme_hast_ges_W_2;waerme_hast_ges_W_3;waerme_hast_ges_W_4;waerme_hast_ges_W_5;waerme_hast_ges_W_6;waerme_hast_ges_W_7;waerme_hast_ges_W_8;waerme_hast_ges_W_9;strombedarf_hast_ges_W_1;strombedarf_hast_ges_W_2;strombedarf_hast_ges_W_3;strombedarf_hast_ges_W_4;strombedarf_hast_ges_W_5;strombedarf_hast_ges_W_6;strombedarf_hast_ges_W_7;strombedarf_hast_ges_W_8;strombedarf_hast_ges_W_9
2021-05-10T18:00:00;14623.872923625606;14623.872923625606;60976.5417041261;21676.226695343958;14623.872923625606;14623.872923625606;54190.56673835992;14623.872923625606;45732.406278094575;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-10T19:00:00;14623.872923625606;14623.872923625606;69623.5169106287;24750.093949322476;14623.872923625606;14623.872923625606;61875.234873306224;14623.872923625606;52217.63768297153;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-10T20:00:00;14623.872923625606;14623.872923625606;88924.59759315559;31611.332528080162;14623.872923625606;14623.872923625606;79028.33132020045;14623.872923625606;66693.4481948667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-10T21:00:00;14623.872923625606;14623.872923625606;79640.19727270282;28310.870408516555;14623.872923625606;14623.872923625606;70777.17602129144;14623.872923625606;59730.147954527114;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-10T22:00:00;14623.872923625606;14623.872923625606;67885.77463569312;24132.35318481078;14623.872923625606;14623.872923625606;60330.882962026975;14623.872923625606;50914.33097676984;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-10T23:00:00;14623.872923625606;14623.872923625606;61447.022145375035;21843.47528660913;14623.872923625606;14623.872923625606;54608.68821652285;14623.872923625606;46085.26660903127;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T00:00:00;14623.872923625606;14623.872923625606;14623.872923625606;14623.872923625606;14623.872923625606;14623.872923625606;14623.872923625606;14623.872923625606;14623.872923625606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T01:00:00;14623.872923625606;14623.872923625606;93458.02575624124;34247.45855828857;14623.872923625606;14623.872923625606;85618.64639572144;14623.872923625606;70093.51931718092;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T02:00:00;14623.872923625606;14623.872923625606;82502.69848681726;30232.9064252201;14623.872923625606;14623.872923625606;75582.26606305028;14623.872923625606;61877.02386511295;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2021-05-11T03:00:00;14623.872923625606;14623.872923625606;66850.01260789542;24497.019040198113;14623.872923625606;14623.872923625606;61242.547600495294;14623.872923625606;50137.509455921565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
