Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;Subtyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max;Normaußentemperatur;UTM_X;UTM_Y
Deutschland;Sachsen;Bad Muskau;Köbelner Str. 9;33561.4;HMF;03;0.2;HK;70;1.5;55;-15;480132.8694;5711237.235
Deutschland;Sachsen;Bad Muskau;Köbelner Str. 11;33299.6;HMF;03;0.2;HK;70;1.5;55;-15;480126.16;5711248.45
Deutschland;Sachsen;Bad Muskau;Köbelner Str. 13;32791.3;HMF;03;0.2;HK;70;1.5;55;-15;480119.4032;5711259.798
Deutschland;Sachsen;Bad Muskau;Köbelner Str. 15;30311;HMF;03;0.2;HK;70;1.5;55;-15;480112.532;5711271.153
Deutschland;Sachsen;Bad Muskau;Köbelner Str. 17;30576.2;HMF;03;0.2;HK;70;1.5;55;-15;480105.748;5711282.451
Deutschland;Sachsen;Bad Muskau;Köbelner Str. 19;44180.45;HMF;03;0.2;HK;70;1.5;55;-15;480093.5095;5711309.035
Deutschland;Sachsen;Bad Muskau;Köbelner Str. 21;32680.8;HMF;03;0.2;HK;70;1.5;55;-15;480084.2229;5711323.274
Deutschland;Sachsen;Bad Muskau;Köbelner Str. 23;48648.05;HMF;03;0.2;HK;70;1.5;55;-15;480075.071;5711337.362
Deutschland;Sachsen;Bad Muskau;Köbelner Str. 25;25046.1;HMF;03;0.2;HK;70;1.5;55;-15;480063.2991;5711365.407
Deutschland;Sachsen;Bad Muskau;Köbelner Str. 27;34000;HMF;03;0.2;HK;70;1.5;55;-15;480052.7337;5711378.004
Deutschland;Sachsen;Bad Muskau;Köbelner Str. 29;42123.45;HMF;03;0.2;HK;70;1.5;55;-15;480042.1685;5711390.613
Deutschland;Sachsen;Bad Muskau;Köbelner Str. 31;176911.35;HMF;03;0.2;HK;70;1.5;55;-15;480024.6375;5711414.327
Deutschland;Sachsen;Bad Muskau;Köbelner Str. 37;45475.85;HMF;03;0.2;HK;70;1.5;55;-15;480001.1703;5711437.641
Deutschland;Sachsen;Bad Muskau;Köbelner Str. 20;16099.85;HMF;03;0.2;HK;70;1.5;55;-15;480156.1634;5711276.709
Deutschland;Sachsen;Bad Muskau;Jahnstraße 2;25016.35;HMF;03;0.2;HK;70;1.5;55;-15;480208.3686;5711215.871
Deutschland;Sachsen;Bad Muskau;Jahnstraße 3;17927.35;HMF;03;0.2;HK;70;1.5;55;-15;480222.3171;5711251.405
