Land;Bundesland;Stadt;Adresse;Wärmebedarf;Gebäudetyp;Subtyp;WW_Anteil;Typ_Heizflächen;VLT_max;Steigung_Heizkurve;RLT_max;Normaußentemperatur;UTM_X;UTM_Y
Deutschland;Sachsen;Görlitz;Brückenstraße 10;108000;GBD;03;0.2;HK;70;1.5;55;-15;499829.047722075;5666164.624415245
Deutschland;Sachsen;Görlitz;Brückenstraße 3;50000;HMF;03;0.3;HK;70;1.5;55;-15;499825.1792059168;5666358.568864921
Deutschland;Sachsen;Görlitz;Furtstraße 1;1100000;GBD;03;0.4;HK;70;1.5;55;-15;499911.14272323996;5666415.548938136
Deutschland;Sachsen;Görlitz;Furtstraße 3;520000;GBD;03;0.2;HK;70;1.5;55;-15;499949.2557052245;5666447.653776529
Deutschland;Sachsen;Görlitz;Heynestraße 7;50000;HMF;03;0.3;HK;70;1.5;55;-15;499888.96121251595;5666315.274356892
Deutschland;Sachsen;Görlitz;Parkstraße 3;100000;HMF;03;0.4;HK;70;1.5;55;-15;499753.8889983194;5666459.714211357
Deutschland;Sachsen;Görlitz;Am Stadtpark 1;1300000;GBD;03;0.2;HK;70;1.5;55;-15;499746.8431851497;5666551.482278606
Deutschland;Sachsen;Görlitz;Am Stadtpark 6;100000;HMF;03;0.3;HK;70;1.5;55;-15;499725.3811982296;5666483.402668441
Deutschland;Sachsen;Görlitz;Dr.-Kahlbaum-Allee 31;825000;GBD;03;0.4;HK;70;1.5;55;-15;499555.78352249897;5666496.147675249
