time_steps;Last_L;Gaskessel_1;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
2021-08-20 08:00:00;517.7594313531607;517.7594313531607;0.0;0.0;0.0
2021-08-20 09:00:00;478.43814880805314;478.43814880805314;0.0;0.0;0.0
2021-08-20 10:00:00;445.1512825177586;445.1512825177586;0.0;0.0;0.0
2021-08-20 11:00:00;398.3957910178132;398.3957910178132;0.0;0.0;0.0
2021-08-20 12:00:00;374.1960973961719;374.1960973961719;0.0;0.0;0.0
2021-08-20 13:00:00;319.89639652492264;319.89639652492264;0.0;0.0;0.0
2021-08-20 14:00:00;260.0241428909484;260.0241428909484;0.0;0.0;0.0
2021-08-20 15:00:00;212.939527014304;212.939527014304;0.0;0.0;0.0
2021-08-20 16:00:00;159.68936797899556;159.68936797899556;0.0;0.0;0.0
2021-08-20 17:00:00;176.58628910830856;176.58628910830856;0.0;0.0;0.0
2021-08-20 18:00:00;171.38372207044458;171.38372207044458;0.0;0.0;0.0
2021-08-20 19:00:00;164.70813664005797;164.70813664005797;0.0;0.0;0.0
2021-08-20 20:00:00;160.80761718475392;160.80761718475392;0.0;0.0;0.0
2021-08-20 21:00:00;208.4802166845619;208.4802166845619;0.0;0.0;0.0
2021-08-20 22:00:00;159.37395490547996;159.37395490547996;0.0;0.0;0.0
2021-08-20 23:00:00;188.48036037773417;188.48036037773417;0.0;0.0;0.0
2021-08-21 00:00:00;183.44365576627555;183.44365576627555;0.0;0.0;0.0
2021-08-21 01:00:00;185.55468466656745;185.55468466656745;0.0;0.0;0.0
2021-08-21 02:00:00;186.98129611817023;186.98129611817023;0.0;0.0;0.0
2021-08-21 03:00:00;197.5458888765137;197.5458888765137;0.0;0.0;0.0
2021-08-21 04:00:00;200.60653128512783;200.60653128512783;0.0;0.0;0.0
2021-08-21 05:00:00;204.2181838381461;204.2181838381461;0.0;0.0;0.0
2021-08-21 06:00:00;330.3037563164833;330.3037563164833;0.0;0.0;0.0
2021-08-21 07:00:00;390.0794231529187;390.0794231529187;0.0;0.0;0.0
2021-08-21 08:00:00;362.71776533750113;362.71776533750113;0.0;0.0;0.0
2021-08-21 09:00:00;436.1610390072568;436.1610390072568;0.0;0.0;0.0
