Zeit;Gesamtwärmebedarf_Gebäude_kW;Gesamtheizlast_Gebäude_kW;Gesamtstrombedarf_Wärmepumpen_Gebäude_kW;Wärmeerzeugung_Heizentrale Haupteinspeisung_1_kW;Massenstrom_Heizentrale Haupteinspeisung_1_kg/s;Delta p_Heizentrale Haupteinspeisung_1_bar;Vorlauftemperatur_Heizentrale Haupteinspeisung_1_°C;Rücklauftemperatur_Heizentrale Haupteinspeisung_1_°C;Vorlaufdruck_Heizentrale Haupteinspeisung_1_bar;Rücklaufdruck_Heizentrale Haupteinspeisung_1_bar;Wärmeerzeugung_weitere Einspeisung_1_kW;Massenstrom_weitere Einspeisung_1_kg/s;Delta p_weitere Einspeisung_1_bar;Vorlauftemperatur_weitere Einspeisung_1_°C;Rücklauftemperatur_weitere Einspeisung_1_°C;Vorlaufdruck_weitere Einspeisung_1_bar;Rücklaufdruck_weitere Einspeisung_1_bar
2021-11-03 22:00:00;415.27438085291334;415.27438085291334;0.0;423.7116732477416;5.625232081249375;1.5784563953618251;77.44;59.5058543028066;4.07845639536182;2.4999999999999947;21.41259709884011;0.28482780390793966;1.4640109469689446;77.44;59.54063296301803;4.0;2.5359890530310554
2021-11-03 23:00:00;545.0590449714267;545.0590449714267;0.0;547.2677278022978;7.3630843819703715;1.5784563953618251;77.32;59.623361853085385;4.07845639536182;2.4999999999999947;27.967855226532386;0.3764344708743294;1.4424748464874781;77.32;59.630299230281025;4.0;2.557525153512522
2021-11-04 00:00:00;760.0547860507038;760.0547860507038;0.0;752.0385002849616;10.03927087329588;1.5784563953618251;77.56;59.724363523807426;4.07845639536182;2.4999999999999947;38.794173696126045;0.5177428488863226;1.398072271209506;77.56;59.719660837893684;4.0;2.601927728790494
2021-11-04 01:00:00;805.4043508493352;805.4043508493352;0.0;795.2455405608749;10.553025648034744;1.5784563953618251;77.68;59.73783036647137;4.07845639536182;2.4999999999999947;41.07676823972738;0.5449108221447035;1.3882548942892843;77.68;59.73177339710895;4.0;2.6117451057107157
2021-11-04 02:00:00;852.1892217392365;852.1892217392365;0.0;839.8191434020027;11.078125325981103;1.5784563953618251;77.80000000000001;59.75029095434701;4.07845639536182;2.4999999999999947;43.43118982930862;0.5726770212214644;1.3777454343861835;77.80000000000001;59.74312134069413;4.0;2.6222545656138165
2021-11-04 03:00:00;752.8782555943546;752.8782555943546;0.0;745.2993948938304;9.683188057097682;1.5784563953618251;78.04000000000002;59.714192855377576;4.07845639536182;2.4999999999999947;38.43273852367494;0.49920846788791684;1.4049565490012612;78.04000000000002;59.70967786391611;4.0;2.595043450998739
2021-11-04 04:00:00;692.6870150434439;692.6870150434439;0.0;687.9162728562438;9.107483752132959;1.5784563953618251;77.68;59.695934012845555;4.07845639536182;2.4999999999999947;35.402316288235156;0.4686498781118365;1.4149149423645033;77.68;59.69402940777297;4.0;2.5850850576354967
2021-11-04 05:00:00;718.7228395100726;718.7228395100726;0.0;712.7634285824197;9.34670812808556;1.5784563953618251;77.86000000000001;59.70327830629827;4.07845639536182;2.4999999999999947;36.69333053292414;0.4813641182550035;1.4068715372225724;77.86000000000001;59.71052242486496;4.0;2.5931284627774276
2021-11-04 06:00:00;724.1949928244076;724.1949928244076;0.0;717.9378270989756;9.511566904817112;1.5784563953618251;77.68;59.70845234741108;4.07845639536182;2.4999999999999947;36.96929086653841;0.4899671680651828;1.4037952525906952;77.68;59.71509809475731;4.0;2.596204747409305
2021-11-04 07:00:00;799.2396348634779;799.2396348634779;0.0;789.3632273735789;10.581233333872612;1.5784563953618251;77.5;59.73802276777195;4.07845639536182;2.4999999999999947;40.7450523937147;0.5463018693530267;1.3822677045843736;77.5;59.742046943069454;4.0;2.6177322954156264
2021-11-04 08:00:00;1268.7601354440155;1268.7601354440155;0.0;1236.405218499516;17.013572626601633;1.6754889221731433;77.13999999999999;59.83721466844918;4.175488922173138;2.499999999999995;64.37073596245341;0.8854467120225888;1.2170477331903666;77.13999999999999;59.830809624966946;4.0;2.7829522668096334
2021-11-04 09:00:00;1025.2527263120114;1025.2527263120114;0.0;1004.3683354715748;14.500922903067918;1.6754889221731433;76.30000000000001;59.80895873538992;4.175488922173138;2.499999999999995;52.12896657713267;0.7523796682361316;1.2916528108486478;76.30000000000001;59.80346343364272;4.0;2.708347189151352
2021-11-04 10:00:00;926.8851668483783;926.8851668483783;0.0;910.7307741381064;12.942616605373443;1.6754889221731433;76.54000000000002;59.78599521714597;4.175488922173138;2.499999999999995;47.1829247668556;0.6703230437798884;1.3328501261771017;76.54000000000002;59.780871978611174;4.0;2.6671498738228983
