Building;Latitude;Longitude;Roof Area (m²);Slope (°);Orientation (°);Yield (MWh);Max Power (kW)
Blumenstraße 41;51.14737144014766;14.992940945278669;71.16589999817367;12.198070217643101;93.09333248460848;11.82;10.32
Blumenstraße 41;51.14737144014766;14.992940945278669;71.12019999802044;11.901934765928024;-87.3607645906026;12.9;16.71
Emmerichstraße 79;51.1470071645278;14.994841767967717;141.88496734589606;26.932290472750424;94.84721239227218;21.4;19.61
Emmerichstraße 79;51.1470071645278;14.994841767967717;138.3298118954527;26.931093446202798;-85.15962441971243;25.22;58.14
Emmerichstraße 79;51.1470071645278;14.994841767967717;11.613077707335385;0.0;0.0;2.04;1.73
Emmerichstraße 79;51.1470071645278;14.994841767967717;20.840646129347796;26.239483253088217;-85.15972630675626;3.8;8.62
Emmerichstraße 79;51.1470071645278;14.994841767967717;20.780859908332527;27.302284954564485;104.2776858019193;3.06;2.73
Emmerichstraße 66;51.14679084262342;14.991267964010195;16.52021000118515;0.0;0.0;2.9;2.45
James-von-Moltke-Straße 13;51.14726023616124;14.990675340399608;141.2254649727787;34.8154420014404;6.043386695678797;25.84;24.82
James-von-Moltke-Straße 13;51.14726023616124;14.990675340399608;138.93497499797067;34.812237142823484;-173.95071364287227;18.46;25.05
James-von-Moltke-Straße 13;51.14726023616124;14.990675340399608;32.523270000382865;9.88396571964336;5.499105524360835;5.92;5.23
Sohrstraße 9;51.14675145600928;14.991563727360907;240.66060000210155;180.0;0.0;7.05;7.25
Blumenstraße 40;51.14776573591511;14.99311872087877;161.17515000335712;0.0;0.0;28.31;23.95
Emmerichstraße 77;51.147223546287684;14.994351367758714;77.0120050035749;0.0;0.0;13.53;11.44
Sohrstraße 17;51.14791546289345;14.991566202637852;187.4677000004168;0.0;0.0;32.93;27.85
Emmerichstraße 70;51.14688919681277;14.992794866939231;51.18219053721105;48.89472241994469;110.7826682685366;6.11;5.85
Emmerichstraße 70;51.14688919681277;14.992794866939231;37.19531300461547;55.823133995962095;-84.44005273653893;6.16;21.34
Emmerichstraße 70;51.14688919681277;14.992794866939231;152.5851264990829;0.0;0.0;26.8;22.67
Emmerichstraße 70;51.14688919681277;14.992794866939231;47.21695000221985;0.0;0.0;8.29;7.01
Sohrstraße 14;51.147470791731614;14.9915408943786;53.502797000267684;58.36819519627898;-179.22815801375623;5.09;9.47
Sohrstraße 14;51.147470791731614;14.9915408943786;52.07977700106559;58.53574031053231;0.640714792825355;8.72;8.8
Sohrstraße 14;51.147470791731614;14.9915408943786;138.9245400025349;0.0;0.0;24.4;20.64
Sohrstraße 14;51.147470791731614;14.9915408943786;10.861910999438399;0.0;0.0;1.91;1.61
Sohrstraße 11;51.14717064958124;14.991195687985698;121.80239999775911;0.0;0.0;21.4;18.1
Blumenstraße 46a;51.14795887619879;14.991402824665254;15.078154977529746;45.36923717941205;-97.30089094630091;2.51;8.11
Blumenstraße 46a;51.14795887619879;14.991402824665254;15.170816501508773;48.764877062381785;81.22077824728424;2.03;2.12
Blumenstraße 46a;51.14795887619879;14.991402824665254;103.98347799574628;0.0;0.0;18.27;15.45
Blumenstraße 46a;51.14795887619879;14.991402824665254;13.88233500027036;0.0;-0.0;2.44;2.06
Blumenstraße 35;51.147407911672055;14.993972905648642;104.39466750044271;15.251234591511789;69.47489614818011;17.63;15.97
Blumenstraße 35;51.147407911672055;14.993972905648642;104.31999149404007;5.245108535235039;168.8915310659052;17.76;14.88
Blumenstraße 35;51.147407911672055;14.993972905648642;10.147221000145151;0.0;-0.0;1.78;1.51
Blumenstraße 35;51.147407911672055;14.993972905648642;68.13878500731566;6.141140831647472;168.8372730343835;11.53;9.65
Blumenstraße 43;51.14782949976567;14.992504462345156;87.21450715531901;34.875475787106325;78.53554302180693;13.05;12.7
Blumenstraße 43;51.14782949976567;14.992504462345156;75.7439199844559;88.51796311198957;177.4809196807737;5.23;10.83
Blumenstraße 43;51.14782949976567;14.992504462345156;75.94993998733821;0.0;-0.0;13.34;11.28
James-von-Moltke-Straße 15;51.14698998521278;14.990758363769553;321.77325000418193;180.0;0.0;9.43;9.7
Blumenstraße 30;51.14742975384874;14.995402735771691;50.196073004214476;149.43231871596046;-76.00097333458119;2.09;21.65
Blumenstraße 30;51.14742975384874;14.995402735771691;101.93401551589082;31.909972611054485;14.055624594891238;18.45;17.64
Blumenstraße 30;51.14742975384874;14.995402735771691;105.99119149645072;31.848404947869742;-165.95144136597787;14.87;26.1
Blumenstraße 30;51.14742975384874;14.995402735771691;15.671104995519546;0.0;0.0;2.75;2.33
James-von-Moltke-Straße 15;51.14704416946827;14.991007298657518;17.283699998631732;0.0;0.0;3.04;2.57
Emmerichstraße 68;51.14698993801059;14.992299941497095;11.618799998890655;7.029004106542755;7.696051723212786;2.09;1.83
Emmerichstraße 72;51.14689795133106;14.993244899933426;46.57514400105868;61.88503160901703;95.29825901588534;5.22;5.63
Emmerichstraße 72;51.14689795133106;14.993244899933426;42.333095994305346;61.487483904562986;-84.39546093506274;6.77;24.96
Emmerichstraße 72;51.14689795133106;14.993244899933426;130.40166000623503;0.0;0.0;22.91;19.37
Blumenstraße 44;51.14748902659633;14.992421961527828;22.019040500374366;180.0;0.0;0.65;0.66
Blumenstraße 30;51.14732932043078;14.995143983975957;42.043097497493875;7.455809107021058;-165.93778383111461;7.14;5.95
Blumenstraße 30;51.14732932043078;14.995143983975957;42.03256249982555;7.456950356303441;14.036243467926488;7.56;6.62
Emmerichstraße 68;51.14685425182321;14.992366216553947;33.14006643504389;56.35605676156165;-83.22618177034235;5.49;18.97
Emmerichstraße 68;51.14685425182321;14.992366216553947;33.66919556871304;58.3557136443043;94.7460139421829;3.92;4.16
Emmerichstraße 68;51.14685425182321;14.992366216553947;105.97558950238633;0.0;0.0;18.62;15.74
Emmerichstraße 68;51.14685425182321;14.992366216553947;10.252945033233766;0.0;0.0;1.8;1.52
Emmerichstraße 68;51.14685425182321;14.992366216553947;35.78272000553008;0.0;0.0;6.29;5.32
James-von-Moltke-Straße 9;51.14770537666169;14.990873905243934;35.905999999509135;0.0;-0.0;6.31;5.33
Emmerichstraße 70;51.147311213449015;14.99269834053658;119.69822499935505;9.56172940423129;-119.96388198597398;21.0;22.8
