time_steps;Last_L;Solarthermie_1;BHKW_1;Holzgas-BHKW_1;Geothermie_1;Abwärmepumpe_1;Flusswärmepumpe_1;Biomassekessel_1;Gaskessel_1;Ungedeckter Bedarf;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
2021-02-04 20:00:00;557.1515473192986;0.0;100.0;100.0;9.855405432610711;42.04238921001927;200.0;105.25375267666863;0.0;0.0;97.85176336466876;115.78947368421052;17.93771031954175
2021-02-04 21:00:00;544.5995200294747;0.0;100.0;100.0;9.868830813222793;42.08897485493231;200.0;92.64171436131954;0.0;0.0;98.07259940967782;115.78947368421052;17.7168742745327
2021-02-04 22:00:00;451.6486613529506;0.0;100.0;100.0;9.882345945682982;42.13592233009709;199.63039307717057;0.0;0.0;0.0;98.29452082996698;115.78947368421052;17.49495285424355
2021-02-04 23:00:00;545.8402535537863;0.0;100.0;100.0;9.944299221148801;42.35177865612648;200.0;93.54417567651097;0.0;0.0;99.30683963241404;115.78947368421052;16.48263405179648
2021-02-05 00:00:00;799.8773644048206;0.0;100.0;100.0;9.958324461338128;42.40079365079365;200.0;240.0;107.51824629268879;0.0;99.53489244782972;115.78947368421052;16.2545812363808
2021-02-05 01:00:00;919.5229181401476;0.0;100.0;100.0;10.029908250757087;42.65182186234818;200.0;240.0;226.84118802704234;0.0;100.69252786954014;115.78947368421052;15.096945814670363
2021-02-05 02:00:00;982.3809721285456;0.0;100.0;100.0;10.066638197453704;42.78118609406952;200.0;240.0;289.5331478370224;0.0;101.28246608962633;115.78947368421052;14.507007594584195
2021-02-05 03:00:00;862.647364707536;0.0;100.0;100.0;10.119151625961942;42.9668049792531;200.0;240.0;169.5614081023209;0.0;102.12123116134828;115.78947368421052;13.668242522862258
2021-02-05 04:00:00;806.186938782722;0.0;100.0;100.0;10.119151625961942;42.9668049792531;200.0;240.0;113.10098217750692;0.0;102.12123116134828;115.78947368421052;13.668242522862258
2021-02-05 05:00:00;830.0770302934902;0.0;100.0;100.0;10.172981809095463;43.15789473684211;200.0;240.0;136.74615374755263;0.0;102.97540833047266;115.78947368421052;12.81406535373786
2021-02-05 06:00:00;778.2339234831225;0.0;100.0;100.0;10.204352306679674;43.26963906581741;200.0;240.0;84.75993211062541;0.0;103.4706141373415;115.78947368421052;12.318859546869021
2021-02-05 07:00:00;886.3882286434804;0.0;100.0;100.0;10.165209291592102;43.13025210084033;200.0;240.0;193.09276725104792;0.0;102.85242136808422;115.78947368421052;12.937052316126284
2021-02-05 08:00:00;930.0921274172756;0.0;100.0;100.0;10.142057601933315;43.04801670146137;200.0;240.0;236.90205311388092;0.0;102.48539225556986;115.78947368421052;13.304081428640643
2021-02-05 09:00:00;969.910706112971;0.0;100.0;100.0;9.993809041553822;42.5250501002004;200.0;240.0;277.39184697121675;0.0;100.11005553962059;115.78947368421052;15.679418144589931
2021-02-05 10:00:00;1050.9304323576775;0.0;100.0;100.0;9.88913745058275;42.15953307392995;200.0;240.0;358.8817618331648;0.0;98.40589132942907;115.78947368421052;17.383582354781453
2021-02-05 11:00:00;886.5661755362452;0.0;100.0;100.0;9.828820374356326;41.95028680688337;200.0;240.0;194.78706835500554;0.0;97.41331237480303;115.78947368421052;18.376161309407493
2021-02-05 12:00:00;914.8485441320393;0.0;100.0;100.0;9.855405432610711;42.04238921001927;200.0;240.0;222.9507494894093;0.0;97.85176336466876;115.78947368421052;17.93771031954175
2021-02-05 13:00:00;1016.1741185946596;0.0;100.0;100.0;9.902788907800105;42.20703124999999;200.0;240.0;324.06429843685953;0.0;98.62945751309286;115.78947368421052;17.16001617111766
