time_steps;Last_L;Gaskessel_1;el_Leistungsbedarf_L;el_Leistung_L;el_Leistung_ges_L
2021-01-01 00:00:00;931.3527761573764;931.3527761573764;0.0;0.0;0.0
2021-01-01 01:00:00;738.9822577897625;738.9822577897625;0.0;0.0;0.0
2021-01-01 02:00:00;636.749060359475;636.749060359475;0.0;0.0;0.0
2021-01-01 03:00:00;786.1059272046134;786.1059272046134;0.0;0.0;0.0
2021-01-01 04:00:00;812.7868862339052;812.7868862339052;0.0;0.0;0.0
2021-01-01 05:00:00;894.6460369491188;894.6460369491188;0.0;0.0;0.0
2021-01-01 06:00:00;906.5945141187666;906.5945141187666;0.0;0.0;0.0
2021-01-01 07:00:00;983.8926659544178;983.8926659544178;0.0;0.0;0.0
2021-01-01 08:00:00;1075.100413108545;1075.100413108545;0.0;0.0;0.0
2021-01-01 09:00:00;1067.5284752040589;1067.5284752040589;0.0;0.0;0.0
2021-01-01 10:00:00;1173.3942638037013;1173.3942638037013;0.0;0.0;0.0
2021-01-01 11:00:00;1002.2334216226716;1002.2334216226716;0.0;0.0;0.0
2021-01-01 12:00:00;1034.6230170554738;1034.6230170554738;0.0;0.0;0.0
2021-01-01 13:00:00;1151.1435890252387;1151.1435890252387;0.0;0.0;0.0
2021-01-01 14:00:00;778.6926720916435;778.6926720916435;0.0;0.0;0.0
2021-01-01 15:00:00;816.2706598199371;816.2706598199371;0.0;0.0;0.0
2021-01-01 16:00:00;1021.7642497179594;1021.7642497179594;0.0;0.0;0.0
2021-01-01 17:00:00;718.7988530073341;718.7988530073341;0.0;0.0;0.0
2021-01-01 18:00:00;509.869881665511;509.869881665511;0.0;0.0;0.0
2021-01-01 19:00:00;490.4234625037026;490.4234625037026;0.0;0.0;0.0
2021-01-01 20:00:00;846.7669395305537;846.7669395305537;0.0;0.0;0.0
2021-01-01 21:00:00;820.6146661704123;820.6146661704123;0.0;0.0;0.0
2021-01-01 22:00:00;806.2975732961679;806.2975732961679;0.0;0.0;0.0
2021-01-01 23:00:00;711.7111579415467;711.7111579415467;0.0;0.0;0.0
2021-01-02 00:00:00;1014.0205811375138;1014.0205811375138;0.0;0.0;0.0
2021-01-02 01:00:00;470.3499485972841;470.3499485972841;0.0;0.0;0.0
2021-01-02 02:00:00;817.7673910601908;817.7673910601908;0.0;0.0;0.0
2021-01-02 03:00:00;755.3749116871169;755.3749116871169;0.0;0.0;0.0
2021-01-02 04:00:00;629.4202020428668;629.4202020428668;0.0;0.0;0.0
2021-01-02 05:00:00;860.8186031932117;860.8186031932117;0.0;0.0;0.0
2021-01-02 06:00:00;979.0125474655632;979.0125474655632;0.0;0.0;0.0
